Frame,LK_Dots,HS_Avg_Magnitude,Farneback_Avg_Magnitude,GMM_Foreground_Pixels,FD_Foreground_Pixels,Index_Finger_Angle,Middle_Finger_Angle,Ring_Finger_Angle,Pinky_Angle,Gesture,GMM_Time,FD_Time
29,29,0.4142027,0.60627013,146317,35695,166.48918855769247,160.17440856811498,83.79605300359185,95.4520543255458,Unknown,0.0290069580078125,0.0060083866119384766
30,29,0.50274986,0.5523202,149705,34578,142.76160929702948,6.850410670477245,45.5751554114805,75.13055614030122,Unknown,0.026006221771240234,0.005001068115234375
31,29,0.35433936,0.56202596,147719,32090,141.52855482603823,28.77384144638448,33.80357845254565,71.51294284769766,Unknown,0.028009414672851562,0.005998373031616211
32,29,0.3704444,0.57166576,146395,29390,71.29376821450931,17.000824049199288,6.816468803589319,29.57775110500795,Unknown,0.02800440788269043,0.006001710891723633
33,29,0.34042254,0.5507298,142662,26443,81.4648426377981,20.498636641447657,3.2683021633640896,22.13456739701405,Unknown,0.03200721740722656,0.0050008296966552734
34,29,0.32474422,0.5036309,136707,22994,37.50722248045818,18.81305067301436,3.9754788042877474,11.157938395887161,Fist,0.028007030487060547,0.007000923156738281
35,29,0.29405683,0.47305515,131284,19130,28.450793486997515,19.00345086377331,7.283718029089114,5.06686889624756,Fist,0.029006481170654297,0.005000591278076172
36,29,0.2834898,0.42897522,128058,15342,25.544209137850828,16.849213939955646,6.860293244382034,3.1974345735052525,Fist,0.02800726890563965,0.005000114440917969
37,29,0.2616207,0.39738393,119546,11273,27.288725392319826,16.881691586842347,6.049744403752797,4.392172141052612,Fist,0.028006315231323242,0.006001949310302734
38,29,0.24110055,0.36941135,111658,8375,21.94086472353914,15.180017740698128,4.776576066531442,2.928305949913338,Fist,0.03000617027282715,0.006001949310302734
39,29,0.23044069,0.3551875,103832,6688,21.55117820331975,13.59426789874418,1.526143486758234,4.4713218136200314,Fist,0.031005859375,0.006000995635986328
40,29,0.2286144,0.34699672,99952,6071,22.025679895720867,14.408891507568288,3.4272435540518424,3.953163899849739,Fist,0.030005931854248047,0.005001068115234375
41,29,0.2336962,0.36468342,98009,6921,27.16766901868839,18.290362451698783,6.9081896313336975,3.011505005963729,Fist,0.029006004333496094,0.0050013065338134766
42,29,0.24178395,0.37849766,97800,8207,27.723650508429806,18.407151606813578,6.928703114510498,5.519433879977641,Fist,0.029007911682128906,0.00599980354309082
43,29,0.25177816,0.4072048,99125,9091,28.730714339212764,17.684974004212208,4.993742511957187,8.363966010764157,Fist,0.029006481170654297,0.005000591278076172
