Frame,Activity,LK_Dots,HS_Avg_Magnitude,Farneback_Avg_Magnitude,GMM_Foreground_Pixels,FD_Foreground_Pixels,Elbow_Angle,Knee_Angle,GMM_Time,FD_Time
34,Dumbbell Curl,36,0.30748504,1.05158,347107,59942,70.60114794683459,168.95818322170453,0.06502890586853027,0.0
35,Dumbbell Curl,36,0.33177814,1.3714352,302326,78918,87.81028467064556,168.50751216639242,0.0713047981262207,0.0067920684814453125
36,Dumbbell Curl,36,0.0,8.553893e-05,281737,0,92.56933992591841,168.68206027725896,0.07817530632019043,0.014842987060546875
37,Dumbbell Curl,36,0.29987973,1.2050648,280425,61824,96.5582086318403,168.45459346652197,0.059737205505371094,0.0
38,Dumbbell Curl,36,0.3889484,1.5691526,313745,79841,102.09136045334942,168.60112004642502,0.08508157730102539,0.018246173858642578
39,Dumbbell Curl,35,0.28080592,1.103029,313810,57970,110.5347400550184,168.6846995574324,0.052004098892211914,0.011719226837158203
40,Dumbbell Curl,35,0.41591296,1.553623,339641,81302,120.3956271878668,169.1593863433095,0.08760428428649902,0.014205455780029297
41,Dumbbell Curl,35,0.034919947,0.08880862,322278,119,122.39294933001759,169.2624508535869,0.08518528938293457,0.01570272445678711
42,Dumbbell Curl,35,0.34805024,1.097306,339514,66395,127.37884935707305,170.13604906941467,0.06824445724487305,0.012679576873779297
43,Dumbbell Curl,35,0.4145999,1.5643438,352630,89614,130.68912113310643,169.7304932040143,0.1191098690032959,0.02118825912475586
44,Dumbbell Curl,35,0.41470787,1.7138461,375017,96798,134.57829763829812,170.76639498895798,0.06372737884521484,0.021654605865478516
45,Dumbbell Curl,35,0.37096474,1.1371406,393719,72356,139.78431148006837,171.25724796904845,0.11642193794250488,0.02111220359802246
46,Dumbbell Curl,35,0.051496718,0.1356099,380214,422,140.49742234454774,172.25863096449194,0.05734968185424805,0.008183956146240234
47,Dumbbell Curl,35,0.44846413,1.6698052,397600,100389,144.44377465805883,172.19400235423655,0.07913804054260254,0.020470380783081055
48,Dumbbell Curl,35,0.3424326,1.079574,391948,73726,147.92215535793412,171.6226250110878,0.08323240280151367,0.014087915420532227
